SOCHTAA	सोचता
ROKNE	रोकने
RAAJKUMAARII	राजकुमारी
SKTAA	सकता
TUM	तुम
CHLTE	चलते
CHLE	चले
JAA	जा
RHE	रहे
HOMNGE	होंगे
VH	वह
CHLTII	चलती
CHLII	चली
RHII	रही
HOGII	होगी
AGR	अगर
BOLTII	बोलती
HOTII	होती
TB	तब
TO	तो
CHLTAA	चलता
CHLAA	चला
RHAA	रहा
HOGAA	होगा
VRNAA	वरना
MEEMN	मैं
HOTAA	होता
MOHN	मोहन
HEE	है
PR	पर
BHII	भी
THE	थे
USKII	उसकी
IS	इस
CHUNOOTII	चुनौती
GYE	गये
RAADHAA	राधा
GYII	गयी
AB	अब
AAP	आप
BHOJN	भोजन
KRNE	करने
HAATH	हाथ
MLTAA	मलता
RH	रह
GYAA	गया
DEKHTAA	देखता
JO	जो
KO	को
BS	बस
JAATAA	जाता
THAA	था
HR	हर
BAAR	बार
HAAR	हार
KR	कर
HO	हो
DDR	डर
KE	के
MAARE	मारे
KAASH	काश
KI	कि
BEESAAKH	बैसाख
MHIINAA	महीना
YH	यह
KAA	का
JETTH	जेठ
SAAVN	सावन
MUJHSE	मुझसे
NAA	ना
NHIIMN	नहीं
USSE	उससे
KAAM	काम
PAATAA	पाता
UTTHAA	उठा
DHUUP	धूप
MEMN	में
BEETTHAA	बैठा
ROTTII	रोटी
AAM	आम
KHAATAA	खाता
DDAAYNAAMO	डायनामो
LGAATAAR	लगातार
ABHIYAAN	अभियान
BNVAANAA	बनवाना
ISLIE	इसलिए
YAASHIKAA	याशिका
PHLE	पहले
YHIIMN	यहीं
BEETTHTII	बैठती
THII	थी
ANURAADHAA	अनुराधा
KHAAMN	कहाँ
AAJKL	आजकल
VHAAMN	वहाँ
ANIITAA	अनीता
JAANKAARII	जानकारी
MNORMNJN	मनोरंजन
CHUPCHAAP	चुपचाप
PITAAJII	पिताजी
AAJ	आज
SHAAM	शाम
MMNDIR	मंदिर
JAAUUMNGII	जाऊँगी
UNSE	उनसे
KHO	कहो
VAAPIS	वापिस
LOOTT	लौट
JAAEMN	जाएँ
JAAO	जाओ
KL	कल
JAANAA	जाना
MUJHE	मुझे
LGTAA	लगता
ARE	अरे
SAAMNP	साँप
SE	से
NIKL	निकल
AAYAA	आया
KHELNE	खेलने
SMY	समय
KHELAA	खेला
EESAA	ऐसा
SDAA	सदा
PAAIPLAAIN	पाइपलाइन
SIYAACHIN	सियाचिन
CHOODH	चौदह
PAAMNCH	पाँच
KM	कम
NOO	नौ
HOTE	होते
HEEMN	हैं
OOR	और
TEL	तेल
DUUDH	दूध
SAAMAAN	सामान
MERII	मेरी
BAAT	बात
SUNTII	सुनती
JAATE	जाते
APNAA	अपना
LETII	लेती
LENE	लेने
JAAE	जाए
AMIT	अमित
LETE	लेते
SBKAA	सबका
NAAM	नाम
BTAATE	बताते
GHR घर
CHHT    छत
PHL फल
MERAA	मेरा
KHULAA	खुला
